,Data,Godz.,prog. zap 2022,zap 2022
132,2022-01-06,13,20100,"19657,838"
133,2022-01-06,14,20150,"19860,325"
134,2022-01-06,15,19800,"19875,138"
135,2022-01-06,16,20150,"19752,925"
136,2022-01-06,17,21100,"20401,75"
137,2022-01-06,18,21100,"20552,338"
138,2022-01-06,19,21100,"20465,363"
139,2022-01-06,20,21000,"20485,375"
140,2022-01-06,21,20750,"20225,538"
141,2022-01-06,22,20050,"19556,25"
142,2022-01-06,23,19250,"18883,9"
143,2022-01-06,24,18300,"17761,363"
144,2022-01-07,1,16393,"16997,313"
145,2022-01-07,2,16191,"16432,713"
146,2022-01-07,3,16174,"16185,575"
147,2022-01-07,4,16118,"16161,138"
148,2022-01-07,5,16386,16425
149,2022-01-07,6,17365,"17181,988"
150,2022-01-07,7,19762,18906
151,2022-01-07,8,20563,"20101,438"
152,2022-01-07,9,21550,"20909,463"
153,2022-01-07,10,22049,"21505,038"
154,2022-01-07,11,22215,"21345,625"
155,2022-01-07,12,21989,"21263,563"
156,2022-01-07,13,21668,"21227,675"
157,2022-01-07,14,21825,"21884,738"
158,2022-01-07,15,22402,"22107,313"
159,2022-01-07,16,22410,"22318,525"
160,2022-01-07,17,23162,"22930,2"
161,2022-01-07,18,22984,"23000,375"
162,2022-01-07,19,22579,"22791,775"
163,2022-01-07,20,22317,"22451,2"
164,2022-01-07,21,22620,"22021,688"
165,2022-01-07,22,21279,"20822,3"
166,2022-01-07,23,20142,"19960,25"
167,2022-01-07,24,18792,"18816,363"
168,2022-01-08,1,18400,"17742,663"
169,2022-01-08,2,17650,"17242,863"
170,2022-01-08,3,17250,"16879,1"
171,2022-01-08,4,17150,"16791,5"
172,2022-01-08,5,17250,"16859,625"
173,2022-01-08,6,17650,"17339,75"
174,2022-01-08,7,18900,"18151,3"
175,2022-01-08,8,19550,"18785,1"
176,2022-01-08,9,20800,"19579,2"
177,2022-01-08,10,21700,"20444,063"
178,2022-01-08,11,22150,"21138,075"
179,2022-01-08,12,22250,"21372,75"
180,2022-01-08,13,22200,"21506,763"
181,2022-01-08,14,22150,"21675,713"
182,2022-01-08,15,21500,"21486,488"
183,2022-01-08,16,21800,"21475,788"
184,2022-01-08,17,22550,"22045,463"
185,2022-01-08,18,22550,"22051,3"
186,2022-01-08,19,22250,"21857,013"
187,2022-01-08,20,22000,"21552,438"
188,2022-01-08,21,21500,"21135,525"
189,2022-01-08,22,20450,"20230,063"
190,2022-01-08,23,19400,"19224,25"
191,2022-01-08,24,18150,"18045,713"
192,2022-01-09,1,17150,"17077,663"
193,2022-01-09,2,16450,"16344,488"
194,2022-01-09,3,16050,"15912,913"
195,2022-01-09,4,15750,"15681,063"
196,2022-01-09,5,15750,"15813,363"
197,2022-01-09,6,15950,"16036,638"
198,2022-01-09,7,16700,"16484,3"
199,2022-01-09,8,16900,"16835,425"
200,2022-01-09,9,18100,"17299,488"
201,2022-01-09,10,19100,"17983,45"
202,2022-01-09,11,19550,"18426,813"
203,2022-01-09,12,19650,"18351,738"
204,2022-01-09,13,19850,"18560,663"
205,2022-01-09,14,20050,"19110,688"
206,2022-01-09,15,19650,"19472,2"
207,2022-01-09,16,19850,"19621,313"
208,2022-01-09,17,21050,"20519,413"
209,2022-01-09,18,21100,"20862,875"
210,2022-01-09,19,21100,"20844,813"
211,2022-01-09,20,21100,"20951,913"
212,2022-01-09,21,20850,"20552,363"
213,2022-01-09,22,20150,"19667,825"
214,2022-01-09,23,19300,"18919,088"
215,2022-01-09,24,18250,"17734,013"
216,2022-01-10,1,17050,"17083,9"
217,2022-01-10,2,16400,"16764,463"
218,2022-01-10,3,16200,"16569,05"
219,2022-01-10,4,16350,"16596,938"
220,2022-01-10,5,17050,"17013,525"
221,2022-01-10,6,18900,"18254,875"
222,2022-01-10,7,22250,"21426,013"
223,2022-01-10,8,23650,"23775,1"
224,2022-01-10,9,24600,"24862,963"
225,2022-01-10,10,24850,"25265,375"
226,2022-01-10,11,25000,"25115,9"
227,2022-01-10,12,25050,"25330,975"
228,2022-01-10,13,25100,"25350,875"
229,2022-01-10,14,25300,"25601,825"
230,2022-01-10,15,24700,"25658,438"
231,2022-01-10,16,24850,"25607,663"
232,2022-01-10,17,25600,"26060,663"
233,2022-01-10,18,25600,"26077,838"
234,2022-01-10,19,25200,"25775,925"
235,2022-01-10,20,25050,"25572,775"
236,2022-01-10,21,24650,"25000,95"
237,2022-01-10,22,23600,"23569,6"
238,2022-01-10,23,21850,"22124,825"
239,2022-01-10,24,20550,"20728,475"
240,2022-01-11,1,19400,"19611,75"
241,2022-01-11,2,18700,"19217,95"
242,2022-01-11,3,18400,"19021,9"
243,2022-01-11,4,18400,"18956,225"
244,2022-01-11,5,19000,"19357,05"
245,2022-01-11,6,20500,"20256,788"
246,2022-01-11,7,23800,"23058,125"
247,2022-01-11,8,24650,"25135,4"
248,2022-01-11,9,25450,"25808,55"
249,2022-01-11,10,25500,"26075,113"
250,2022-01-11,11,25600,"25762,788"
251,2022-01-11,12,25600,"25851,925"
252,2022-01-11,13,25700,"25869,713"
253,2022-01-11,14,25850,"25903,625"
254,2022-01-11,15,25250,"25717,275"
255,2022-01-11,16,25300,"25698,613"
256,2022-01-11,17,26100,"26333,913"
257,2022-01-11,18,26100,"26376,225"
258,2022-01-11,19,25700,"26035,275"
259,2022-01-11,20,25650,"25911,988"
260,2022-01-11,21,25150,"25398,425"
261,2022-01-11,22,23900,"23889,963"
262,2022-01-11,23,22100,"22446,15"
263,2022-01-11,24,20850,"21031,3"
264,2022-01-12,1,19750,"19947,588"
265,2022-01-12,2,19100,"19415,55"
266,2022-01-12,3,18800,"19110,5"
267,2022-01-12,4,18850,"19177,175"
268,2022-01-12,5,19500,"19436,663"
269,2022-01-12,6,21000,"20286,725"
270,2022-01-12,7,24000,"23115,313"
271,2022-01-12,8,24950,"25064,463"
272,2022-01-12,9,25750,"25790,3"
273,2022-01-12,10,25800,"26068,963"
274,2022-01-12,11,26000,"25847,425"
