Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9) - (12);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-08-01;01;16518;2973;7251;22086;22 086;14835;1683;10;0;0;0;1170;0
2023-08-01;02;16220;2920;7558;22086;22 086;14528;1691;19;0;0;0;1165;0
2023-08-01;03;15945;2870;7828;22086;22 086;14258;1686;26;0;0;0;1157;0
2023-08-01;04;15773;2839;7989;22086;22 086;14097;1676;21;0;0;0;1143;0
2023-08-01;05;15763;2837;7989;22086;22 086;14097;1666;11;1;0;0;1137;0
2023-08-01;06;16140;2905;7770;22086;22 086;14316;1824;10;308;0;0;1284;0
2023-08-01;07;16813;3026;7278;22086;22 086;14809;2004;6;680;0;0;1477;0
2023-08-01;08;18130;3263;6237;22086;22 086;15849;2280;3;1246;0;0;1791;22795
2023-08-01;09;18902;3402;5741;22086;22 086;16345;2558;3;1778;0;0;2051;22795
2023-08-01;10;19305;3475;5563;22100;22 100;16537;2768;2;2206;0;0;2251;22795
2023-08-01;11;19388;3490;5694;22086;22 086;16392;2996;2;2549;0;0;2409;22795
2023-08-01;12;19538;3517;5700;22086;22 086;16386;3152;3;2767;0;0;2512;22795
2023-08-01;13;19652;3537;5637;22086;22 086;16449;3202;3;2885;0;0;2563;22795
2023-08-01;14;19614;3531;5563;22107;22 107;16544;3070;3;2780;0;0;2504;22795
2023-08-01;15;19495;3509;5563;22204;22 204;16642;2853;3;2497;0;0;2363;22795
2023-08-01;16;19440;3499;5563;22352;22 352;16790;2650;5;2094;0;0;2179;22795
2023-08-01;17;19277;3470;5563;22422;22 422;16860;2417;8;1565;0;0;1947;22795
2023-08-01;18;19140;3445;5563;22526;22 526;16964;2176;6;993;0;0;1698;22795
2023-08-01;19;19256;3466;5563;22878;22 878;17316;1940;9;464;0;0;1468;22795
2023-08-01;20;19523;3514;5563;23265;23 265;17702;1820;9;157;0;0;1336;22795
2023-08-01;21;19900;3582;5563;23659;23 659;18096;1804;10;0;0;0;1288;22795
2023-08-01;22;19913;3584;5563;23634;23 634;18072;1841;10;0;0;0;1306;22795
2023-08-01;23;18162;3269;5690;22086;22 086;16396;1766;15;0;0;0;1288;0
2023-08-01;24;16528;2975;7278;22086;22 086;14809;1719;12;0;0;0;1183;0
2023-08-02;01;16442;2959;7324;22086;22 086;14762;1680;15;0;0;0;1167;0
2023-08-02;02;16398;2952;7367;22086;22 086;14719;1679;16;0;0;0;1166;0
2023-08-02;03;16030;2885;7732;22086;22 086;14354;1676;16;0;0;0;1146;0
2023-08-02;04;15963;2873;7797;22086;22 086;14289;1674;14;0;0;0;1141;0
2023-08-02;05;16032;2886;7734;22086;22 086;14352;1681;12;1;0;0;1147;0
2023-08-02;06;16134;2904;7774;22086;22 086;14312;1822;13;309;0;0;1283;0
2023-08-02;07;16973;3055;7142;22086;22 086;14944;2030;10;680;0;0;1492;0
2023-08-02;08;18201;3276;6207;22086;22 086;15879;2322;8;1237;0;0;1804;22795
2023-08-02;09;19000;3420;5677;22086;22 086;16409;2591;8;1783;0;0;2081;22795
2023-08-02;10;19505;3511;5502;22187;22 187;16684;2821;8;2200;0;0;2290;22795
2023-08-02;11;19582;3525;5522;22086;22 086;16564;3017;9;2549;0;0;2450;22795
