Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9) - (12);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-10-01;01;13784;2481;9450;20996;20 996;11546;2238;46;0;0;0;1226;0
2023-10-01;02;13819;2487;9507;20996;20 996;11489;2330;46;0;0;0;1271;0
2023-10-01;03;13888;2500;9507;20996;20 996;11489;2399;46;0;0;0;1300;0
2023-10-01;04;13962;2513;9507;20996;20 996;11489;2472;39;0;0;0;1330;0
2023-10-01;05;14047;2528;9507;20996;20 996;11489;2557;37;0;0;0;1367;0
2023-10-01;06;14131;2544;9507;20996;20 996;11489;2642;28;0;0;0;1399;0
2023-10-01;07;14239;2563;9507;20996;20 996;11489;2750;25;38;0;0;1462;0
2023-10-01;08;14377;2588;9507;20996;20 996;11489;2888;24;472;0;0;1626;0
2023-10-01;09;14498;2610;9507;20996;20 996;11489;3009;19;914;0;0;1782;0
2023-10-01;10;14669;2640;9507;20996;20 996;11489;3180;11;1397;0;0;1966;0
2023-10-01;11;14763;2657;9507;20996;20 996;11489;3274;10;1724;0;0;2080;0
2023-10-01;12;14835;2670;9471;20996;20 996;11525;3309;12;1908;0;0;2140;0
2023-10-01;13;15038;2707;9206;20996;20 996;11790;3248;11;1864;0;0;2115;0
2023-10-01;14;15080;2714;9038;20996;20 996;11958;3122;14;1626;0;0;2013;0
2023-10-01;15;15045;2708;8941;20996;20 996;12055;2990;19;1359;0;0;1904;0
2023-10-01;16;15017;2703;8793;20996;20 996;12203;2814;21;915;0;0;1725;0
2023-10-01;17;15201;2736;8432;20996;20 996;12564;2637;16;420;0;0;1540;0
2023-10-01;18;15698;2826;8382;21533;21 533;13151;2547;20;39;0;0;1416;0
2023-10-01;19;16652;2997;8382;22405;22 405;14023;2629;28;0;0;0;1450;0
2023-10-01;20;17758;3196;7797;22647;22 647;14850;2909;47;0;0;0;1555;0
2023-10-01;21;17471;3145;7831;22486;22 486;14655;2816;45;0;0;0;1535;0
2023-10-01;22;16174;2911;8382;21855;21 855;13473;2701;38;0;0;0;1479;0
2023-10-01;23;15444;2780;8382;21121;21 121;12739;2705;39;0;0;0;1491;0
2023-10-01;24;14879;2678;8809;20996;20 996;12187;2692;40;0;0;0;1458;0
2023-10-02;01;15256;2746;8896;21440;21 440;12544;2711;33;0;0;0;1484;0
2023-10-02;02;14807;2665;9373;21440;21 440;12067;2740;19;0;0;0;1472;0
2023-10-02;03;14651;2637;9542;21440;21 440;11898;2753;16;0;0;0;1466;0
2023-10-02;04;14708;2647;9494;21440;21 440;11946;2762;11;0;0;0;1468;0
2023-10-02;05;15169;2730;9040;21440;21 440;12400;2768;3;0;0;0;1490;0
2023-10-02;06;15671;2821;8529;21440;21 440;12911;2760;3;0;0;0;1511;0
2023-10-02;07;18151;3267;6034;21440;21 440;15406;2745;2;38;0;0;1639;0
2023-10-02;08;19602;3528;4704;21440;21 440;16736;2866;3;465;0;0;1864;23510
2023-10-02;09;20188;3634;4300;21473;21 473;17173;3015;3;905;0;0;2054;23510
2023-10-02;10;20385;3669;4300;21490;21 490;17190;3195;2;1391;0;0;2253;23510
2023-10-02;11;20113;3620;4624;21440;21 440;16816;3297;3;1710;0;0;2358;23510
2023-10-02;12;20282;3651;4537;21440;21 440;16903;3379;2;1897;0;0;2433;23510
2023-10-02;13;20295;3653;4485;21440;21 440;16955;3340;2;1864;0;0;2408;23510
2023-10-02;14;20329;3659;4316;21440;21 440;17124;3205;2;1636;0;0;2300;23510
2023-10-02;15;20205;3637;4300;21471;21 471;17171;3034;2;1368;0;0;2172;23510
2023-10-02;16;20179;3632;4300;21624;21 624;17324;2855;2;923;0;0;1985;23510
2023-10-02;17;20366;3666;4300;21982;21 982;17682;2685;2;423;0;0;1787;23510
2023-10-02;18;20590;3706;4300;22290;22 290;17990;2599;4;40;0;0;1662;23510
2023-10-02;19;21176;3812;4300;22782;22 782;18483;2693;8;0;0;0;1699;23510
2023-10-02;20;22001;3960;4070;23101;23 101;19031;2971;11;0;0;0;1771;23510
2023-10-02;21;21438;3859;4300;22836;22 836;18536;2902;13;0;0;0;1750;23510
2023-10-02;22;19682;3543;4539;21440;21 440;16901;2781;14;0;0;0;1718;23510
2023-10-02;23;18307;3295;5917;21440;21 440;15523;2784;16;0;0;0;1663;0
2023-10-02;24;17316;3117;6887;21440;21 440;14553;2763;12;0;0;0;1598;0
2023-10-03;01;17433;3138;6779;21440;21 440;14661;2772;8;0;0;0;1606;0
2023-10-03;02;17018;3063;7232;21440;21 440;14208;2809;13;0;0;0;1608;0
2023-10-03;03;16837;3031;7433;21440;21 440;14007;2830;15;0;0;0;1610;0
2023-10-03;04;16877;3038;7402;21440;21 440;14038;2839;14;0;0;0;1613;0
2023-10-03;05;17015;3063;7275;21440;21 440;14165;2850;10;0;0;0;1623;0
2023-10-03;06;17366;3126;6909;21440;21 440;14531;2836;9;0;0;0;1632;0
2023-10-03;07;19007;3421;5219;21440;21 440;16221;2785;8;38;0;0;1702;0
2023-10-03;08;20058;3610;4277;21440;21 440;17163;2895;9;468;0;0;1904;23510
2023-10-03;09;20731;3732;3918;21636;21 636;17718;3014;6;908;0;0;2075;23510
2023-10-03;10;20650;3717;3954;21440;21 440;17486;3164;2;1383;0;0;2248;23510
2023-10-03;11;20471;3685;4234;21440;21 440;17206;3266;2;1707;0;0;2355;23510
2023-10-03;12;20548;3699;4196;21440;21 440;17244;3304;5;1896;0;0;2420;23510
2023-10-03;13;20560;3701;4114;21440;21 440;17326;3234;3;1863;0;0;2384;23510
2023-10-03;14;20695;3725;3918;21521;21 521;17603;3091;3;1621;0;0;2274;23510
2023-10-03;15;20565;3702;3918;21514;21 514;17595;2969;2;1357;0;0;2153;23510
2023-10-03;16;20534;3696;3918;21657;21 657;17739;2796;4;914;0;0;1970;23510
2023-10-03;17;20625;3713;3918;21916;21 916;17998;2627;4;419;0;0;1774;23510
2023-10-03;18;20843;3752;3918;22215;22 215;18296;2546;8;39;0;0;1649;23510
2023-10-03;19;21519;3874;3918;22813;22 813;18895;2624;17;0;0;0;1683;23510
2023-10-03;20;22357;4024;3621;23070;23 070;19449;2908;26;0;0;0;1773;23510
2023-10-03;21;21615;3891;3918;22668;22 668;18750;2865;33;0;0;0;1757;23510
2023-10-03;22;20144;3626;4046;21440;21 440;17394;2750;37;0;0;0;1742;23510
2023-10-03;23;18647;3356;5552;21440;21 440;15888;2759;45;0;0;0;1686;0
2023-10-03;24;17410;3134;6778;21440;21 440;14662;2748;51;0;0;0;1618;0
2023-10-04;01;17645;3176;6531;21440;21 440;14909;2736;48;0;0;0;1619;0
2023-10-04;02;17100;3078;7092;21440;21 440;14348;2752;40;0;0;0;1598;0
2023-10-04;03;16830;3029;7366;21440;21 440;14074;2756;33;0;0;0;1583;0
2023-10-04;04;16844;3032;7352;21440;21 440;14088;2756;32;0;0;0;1584;0
2023-10-04;05;17009;3062;7194;21440;21 440;14246;2763;23;0;0;0;1592;0
2023-10-04;06;17325;3118;6867;21440;21 440;14574;2751;24;0;0;0;1601;0
2023-10-04;07;19001;3420;5157;21440;21 440;16283;2718;21;38;0;0;1677;0
2023-10-04;08;20330;3659;3932;21440;21 440;17508;2822;19;465;0;0;1888;23510
2023-10-04;09;20821;3748;3723;21617;21 617;17894;2927;10;902;0;0;2041;23510
2023-10-04;10;20735;3732;3811;21440;21 440;17629;3106;6;1382;0;0;2216;23510
2023-10-04;11;20561;3701;4040;21440;21 440;17400;3162;7;1698;0;0;2314;23510
