Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9) - (12);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-12-01;01;19431;3498;6728;22539;22 539;15811;3620;36;0;0;0;2098;0
2023-12-01;02;19005;3421;7184;22539;22 539;15355;3650;36;0;0;0;2089;0
2023-12-01;03;18827;3389;7394;22539;22 539;15145;3682;34;0;0;0;2093;0
2023-12-01;04;18861;3395;7368;22539;22 539;15171;3689;32;0;0;0;2098;0
2023-12-01;05;19099;3438;7129;22539;22 539;15410;3689;30;0;0;0;2108;0
2023-12-01;06;19503;3511;6728;22539;22 539;15811;3692;28;0;0;0;2128;0
2023-12-01;07;21396;3851;4832;22539;22 539;17707;3689;25;0;0;0;2220;0
2023-12-01;08;22713;4088;3570;22539;22 539;18969;3744;24;119;0;0;2337;23510
2023-12-01;09;23177;4172;3377;22629;22 629;19252;3925;23;584;0;0;2530;23510
2023-12-01;10;23206;4177;3377;22550;22 550;19173;4032;19;859;0;0;2638;23510
2023-12-01;11;23131;4164;3486;22539;22 539;19053;4079;17;991;0;0;2679;23510
2023-12-01;12;23290;4192;3377;22589;22 589;19212;4078;14;1040;0;0;2698;23510
2023-12-01;13;23390;4210;3377;22769;22 769;19392;3998;16;865;0;0;2622;23510
2023-12-01;14;23228;4181;3377;22690;22 690;19314;3914;18;668;0;0;2543;23510
2023-12-01;15;23345;4202;3377;22984;22 984;19607;3737;21;289;0;0;2375;23510
2023-12-01;16;23789;4282;3377;23508;23 508;20132;3657;25;0;0;0;2270;23510
2023-12-01;17;24531;4416;3377;24086;24 086;20710;3821;26;0;0;0;2305;23510
2023-12-01;18;24443;4400;3377;23904;23 904;20528;3915;31;0;0;0;2330;23510
2023-12-01;19;23899;4302;3377;23416;23 416;20040;3859;31;0;0;0;2331;23510
2023-12-01;20;23347;4202;3377;22948;22 948;19571;3775;27;0;0;0;2316;23510
2023-12-01;21;22607;4069;3646;22539;22 539;18893;3714;26;0;0;0;2289;23510
2023-12-01;22;21329;3839;4909;22539;22 539;17630;3699;26;0;0;0;2216;23510
2023-12-01;23;20140;3625;6075;22539;22 539;16464;3676;28;0;0;0;2146;0
2023-12-01;24;19086;3436;7125;22539;22 539;15414;3672;28;0;0;0;2095;0
2023-12-02;01;18255;3286;7966;22539;22 539;14574;3682;30;0;0;0;2057;0
2023-12-02;02;18318;3297;7909;22539;22 539;14630;3688;29;0;0;0;2062;0
2023-12-02;03;18331;3300;7909;22539;22 539;14630;3701;33;0;0;0;2069;0
2023-12-02;04;18344;3302;7909;22539;22 539;14630;3714;34;0;0;0;2077;0
2023-12-02;05;18347;3302;7909;22539;22 539;14630;3717;33;0;0;0;2077;0
2023-12-02;06;18341;3301;7909;22539;22 539;14630;3712;24;0;0;0;2070;0
2023-12-02;07;18391;3310;7855;22539;22 539;14684;3707;22;0;0;0;2069;0
2023-12-02;08;19031;3426;7256;22539;22 539;15283;3749;19;117;0;0;2148;0
2023-12-02;09;19868;3576;6591;22539;22 539;15948;3920;16;574;0;0;2355;0
2023-12-02;10;20361;3665;6246;22595;22 595;16349;4012;12;841;0;0;2471;0
2023-12-02;11;20747;3734;6027;22738;22 738;16712;4035;10;973;0;0;2523;0
2023-12-02;12;20818;3747;6174;22972;22 972;16797;4021;10;1014;0;0;2523;0
2023-12-02;13;20915;3765;6174;23155;23 155;16981;3934;14;846;0;0;2449;0
2023-12-02;14;20657;3718;6174;22960;22 960;16786;3871;12;656;0;0;2373;0
2023-12-02;15;20494;3689;6174;22953;22 953;16779;3714;14;286;0;0;2213;0
2023-12-02;16;20844;3752;6174;23360;23 360;17186;3659;18;0;0;0;2117;0
2023-12-02;17;21493;3869;6174;23840;23 840;17666;3828;24;0;0;0;2159;0
2023-12-02;18;21314;3836;6174;23595;23 595;17421;3893;32;0;0;0;2186;0
2023-12-02;19;20862;3755;6174;23174;23 174;17000;3862;34;0;0;0;2195;0
2023-12-02;20;20494;3689;6081;22801;22 801;16720;3774;29;0;0;0;2184;0
2023-12-02;21;19847;3572;6424;22539;22 539;16115;3731;27;0;0;0;2157;0
2023-12-02;22;18827;3389;7430;22539;22 539;15109;3718;28;0;0;0;2098;0
