Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9) - (12);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-01-01;01;11823;1294;2713;14578;7 342;4628;8303;5441;0;-1109;0;11175;0
2023-01-01;02;11031;1280;1615;14578;7 342;5727;6956;4059;0;-1652;0;9809;0
2023-01-01;03;11018;1286;183;15266;8 029;7846;4826;2091;0;-1654;0;8832;0
2023-01-01;04;10678;1259;305;14940;7 704;7399;5050;2296;0;-1771;0;8499;0
2023-01-01;05;10534;1230;1303;14627;7 391;6088;6000;3246;0;-1555;0;9164;0
2023-01-01;06;10574;1248;1765;14578;7 342;5577;6767;4008;0;-1770;0;9491;0
2023-01-01;07;10550;1229;1993;14753;7 516;5523;6591;3865;0;-1564;0;9242;0
2023-01-01;08;10472;1214;2065;14784;7 548;5483;6536;3769;12;-1546;0;9145;0
2023-01-01;09;10131;1223;2138;14842;7 605;5467;6233;3137;764;-1569;0;8847;0
2023-01-01;10;10630;1317;2381;14910;7 674;5293;6908;3422;1716;-1571;0;9118;0
2023-01-01;11;11195;1417;2330;14968;8 051;5722;7248;3478;2303;-1775;0;9434;0
2023-01-01;12;11686;1474;2642;14977;8 046;5404;8056;4130;2668;-1774;0;10135;0
2023-01-01;13;12401;1506;2802;14977;7 684;4882;9097;5257;2431;-1578;0;10999;0
2023-01-01;14;13394;1573;2322;14972;7 679;5358;9613;5995;1878;-1577;0;11407;0
2023-01-01;15;13927;1502;2585;14972;7 679;5095;9611;6466;950;-779;0;11502;0
2023-01-01;16;14114;1427;3417;15295;8 003;4586;9612;6735;116;-84;0;11789;0
2023-01-01;17;14651;1479;2912;15376;8 084;5172;9563;6615;0;-84;0;12843;0
2023-01-01;18;15062;1468;2913;15711;8 419;5506;9207;6139;0;349;0;12704;0
2023-01-01;19;15073;1506;2771;15934;8 878;6107;8743;5632;0;222;0;12880;0
2023-01-01;20;15515;1530;1630;15781;8 725;7095;8159;4925;0;262;0;12973;0
2023-01-01;21;14952;1462;1551;15704;8 649;7098;7407;4228;0;447;0;12243;0
