Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9) - (12);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-09-01;01;16821;3028;6504;21504;21 504;15000;1821;48;0;0;0;1291;0
2023-09-01;02;16696;3005;6677;21504;21 504;14827;1869;43;0;0;0;1302;0
2023-09-01;03;16519;2973;6901;21504;21 504;14603;1917;42;0;0;0;1312;0
2023-09-01;04;16608;2989;6858;21504;21 504;14646;1962;38;0;0;0;1334;0
2023-09-01;05;16882;3039;6598;21504;21 504;14906;1976;38;0;0;0;1353;0
2023-09-01;06;16979;3056;6504;21504;21 504;15000;1979;37;10;0;0;1358;0
2023-09-01;07;17826;3209;5827;21504;21 504;15677;2149;35;421;0;0;1561;0
2023-09-01;08;19130;3443;4728;21504;21 504;16776;2354;22;897;0;0;1818;22795
2023-09-01;09;19715;3549;4500;21565;21 565;17064;2651;11;1512;0;0;2104;22795
2023-09-01;10;19916;3585;4500;21528;21 528;17028;2889;14;1982;0;0;2323;22795
2023-09-01;11;19917;3585;4700;21504;21 504;16804;3112;16;2318;0;0;2484;22795
2023-09-01;12;20184;3633;4594;21504;21 504;16910;3273;18;2506;0;0;2594;22795
2023-09-01;13;20356;3664;4500;21581;21 581;17080;3276;23;2524;0;0;2608;22795
2023-09-01;14;20340;3661;4500;21679;21 679;17179;3161;26;2384;0;0;2537;22795
2023-09-01;15;20342;3662;4500;21893;21 893;17393;2949;28;2050;0;0;2380;22795
2023-09-01;16;20027;3605;4500;21798;21 798;17297;2730;27;1620;0;0;2182;22795
2023-09-01;17;19955;3592;4500;21975;21 975;17475;2480;30;1074;0;0;1934;22795
2023-09-01;18;19832;3570;4500;22135;22 135;17634;2197;20;472;0;0;1656;22795
2023-09-01;19;19690;3544;4500;22154;22 154;17653;2036;19;73;0;0;1484;22795
2023-09-01;20;20479;3686;4500;22912;22 912;18412;2067;22;0;0;0;1478;22795
2023-09-01;21;20858;3754;4500;23193;23 193;18692;2165;18;0;0;0;1502;22795
2023-09-01;22;19386;3489;4500;21798;21 798;17297;2089;20;0;0;0;1490;22795
2023-09-01;23;17697;3185;5827;21504;21 504;15677;2020;19;0;0;0;1410;0
2023-09-01;24;16648;2997;6860;21504;21 504;14644;2004;24;0;0;0;1350;0
2023-09-02;01;15712;2828;7401;21142;21 142;13741;1971;18;0;0;0;1278;0
2023-09-02;02;15712;2828;7401;21142;21 142;13741;1971;17;0;0;0;1277;0
2023-09-02;03;15744;2834;7375;21142;21 142;13767;1977;17;0;0;0;1282;0
2023-09-02;04;15760;2837;7375;21142;21 142;13767;1993;24;0;0;0;1294;0
2023-09-02;05;15756;2836;7375;21142;21 142;13767;1989;23;0;0;0;1290;0
2023-09-02;06;15719;2829;7398;21142;21 142;13744;1976;21;10;0;0;1283;0
2023-09-02;07;15872;2857;7401;21142;21 142;13741;2131;14;428;0;0;1446;0
2023-09-02;08;16074;2893;7401;21142;21 142;13741;2333;14;911;0;0;1653;0
2023-09-02;09;16557;2980;7202;21142;21 142;13940;2617;5;1558;0;0;1944;0
2023-09-02;10;17202;3096;7076;21403;21 403;14327;2875;6;2055;0;0;2177;0
2023-09-02;11;17279;3110;7076;21283;21 283;14207;3072;12;2418;0;0;2352;0
2023-09-02;12;17357;3124;7076;21218;21 218;14142;3215;10;2615;0;0;2449;0
2023-09-02;13;17348;3123;7076;21197;21 197;14121;3228;16;2627;0;0;2458;0
2023-09-02;14;17149;3087;7092;21142;21 142;14050;3099;19;2485;0;0;2383;0
2023-09-02;15;16881;3039;7143;21142;21 142;13999;2882;10;2138;0;0;2208;0
