Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9) - (12);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-03-01;01;16752;1662;4889;18490;15 803;10914;5602;1489;0;236;0;13439;0
2023-03-01;02;16532;1655;4981;18485;15 798;10818;5592;1478;0;123;0;13330;0
2023-03-01;03;16346;1637;5224;18485;15 798;10574;5598;1480;0;174;0;13126;0
2023-03-01;04;16408;1635;5187;18401;15 714;10528;5580;1453;0;300;0;13112;0
2023-03-01;05;16813;1655;5002;18401;15 714;10713;5531;1382;0;570;0;13232;0
2023-03-01;06;17744;1708;4649;18571;15 884;11236;5469;1320;0;1039;0;13873;0
2023-03-01;07;19740;1983;2792;19539;16 852;14060;5372;1123;115;308;0;16841;0
2023-03-01;08;20730;2120;2664;19911;17 224;14560;5888;992;1363;282;0;3772;23614
2023-03-01;09;20425;2210;2874;19602;16 915;14041;6471;739;3300;-88;0;4310;23614
2023-03-01;10;19405;2133;4188;19270;16 583;12395;6647;349;4953;363;0;4513;23614
2023-03-01;11;17996;2065;5672;19257;16 570;10898;6934;205;5878;164;0;4781;23614
2023-03-01;12;17632;2083;5829;19250;16 563;10734;7086;197;6322;-189;0;4955;23614
2023-03-01;13;17612;2031;6307;19265;16 578;10271;7014;192;6174;327;0;4887;23614
2023-03-01;14;17823;1986;6183;19265;16 578;10395;6763;172;5662;665;0;4641;23614
