Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9) - (12);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-11-01;01;14974;2695;9503;21249;21 249;11746;3229;8;0;0;0;1713;0
2023-11-01;02;14327;2579;10248;21249;21 249;11001;3325;3;0;0;0;1717;0
2023-11-01;03;14227;2561;10457;21249;21 249;10792;3435;3;0;0;0;1758;0
2023-11-01;04;14244;2564;10457;21249;21 249;10792;3452;2;0;0;0;1766;0
2023-11-01;05;14259;2567;10457;21249;21 249;10792;3467;4;0;0;0;1774;0
2023-11-01;06;14274;2569;10457;21249;21 249;10792;3482;5;0;0;0;1785;0
2023-11-01;07;14280;2570;10457;21249;21 249;10792;3488;9;60;0;0;1805;0
2023-11-01;08;14430;2597;10457;21249;21 249;10792;3638;12;500;0;0;1984;0
2023-11-01;09;14491;2608;10457;21249;21 249;10792;3698;14;808;0;0;2084;0
2023-11-01;10;14544;2618;10457;21249;21 249;10792;3752;7;1135;0;0;2181;0
2023-11-01;11;14554;2620;10457;21249;21 249;10792;3762;6;1274;0;0;2210;0
2023-11-01;12;14742;2654;10216;21249;21 249;11033;3708;6;1272;0;0;2200;0
2023-11-01;13;15040;2707;9776;21249;21 249;11473;3568;3;1064;0;0;2111;0
2023-11-01;14;15292;2753;9385;21249;21 249;11864;3429;2;785;0;0;2008;0
2023-11-01;15;15243;2744;9347;21249;21 249;11902;3341;4;549;0;0;1914;0
2023-11-01;16;15334;2760;9198;21352;21 352;12154;3179;11;68;0;0;1738;0
2023-11-01;17;16023;2884;9160;21962;21 962;12802;3221;27;0;0;0;1757;0
2023-11-01;18;16764;3018;9160;22514;22 514;13354;3410;38;0;0;0;1815;0
2023-11-01;19;16946;3050;9160;22662;22 662;13502;3444;37;0;0;0;1827;0
2023-11-01;20;16851;3033;9160;22547;22 547;13387;3463;49;0;0;0;1844;0
2023-11-01;21;16573;2983;9160;22330;22 330;13170;3403;64;0;0;0;1850;0
2023-11-01;22;15741;2833;9122;21479;21 479;12357;3384;67;0;0;0;1852;0
2023-11-01;23;15084;2715;9520;21249;21 249;11729;3356;60;0;0;0;1813;0
2023-11-01;24;14163;2549;10457;21249;21 249;10792;3370;64;0;0;0;1773;0
2023-11-02;01;14989;2698;9640;21249;21 249;11609;3379;62;0;0;0;1815;0
2023-11-02;02;14618;2631;10029;21249;21 249;11220;3398;68;0;0;0;1805;0
2023-11-02;03;14542;2618;10134;21249;21 249;11115;3427;72;0;0;0;1817;0
2023-11-02;04;14623;2632;10076;21249;21 249;11173;3450;70;0;0;0;1831;0
2023-11-02;05;15820;2848;8905;21249;21 249;12344;3476;79;0;0;0;1906;0
2023-11-02;06;16605;2989;8121;21249;21 249;13128;3477;63;0;0;0;1939;0
2023-11-02;07;18546;3338;6181;21249;21 249;15068;3478;58;59;0;0;2046;0
2023-11-02;08;19600;3528;5271;21249;21 249;15978;3622;54;495;0;0;2264;23510
2023-11-02;09;20353;3663;4564;21249;21 249;16685;3668;40;800;0;0;2384;23510
2023-11-02;10;20629;3713;4350;21249;21 249;16899;3730;36;1127;0;0;2497;23510
2023-11-02;11;20732;3732;4254;21249;21 249;16995;3736;32;1269;0;0;2534;23510
2023-11-02;12;20921;3766;4045;21249;21 249;17204;3717;28;1264;0;0;2528;23510
2023-11-02;13;21123;3802;3718;21249;21 249;17531;3592;29;1063;0;0;2445;23510
