Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9) - (12);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-05-01;01;13338;2401;9246;20767;20 767;10875;2464;29;0;0;646;1310;0
2023-05-01;02;12412;2234;10058;20819;20 819;10063;2348;28;0;0;698;1216;0
2023-05-01;03;12135;2184;10252;20819;20 819;9869;2266;30;0;0;698;1170;0
2023-05-01;04;12040;2167;10263;20819;20 819;9858;2182;27;0;0;698;1130;0
2023-05-01;05;11977;2156;10263;20819;20 819;9858;2119;20;62;0;698;1111;0
2023-05-01;06;12063;2171;10263;20819;20 819;9858;2205;18;435;0;698;1237;0
2023-05-01;07;12199;2196;10263;20819;20 819;9858;2341;14;840;0;698;1391;0
2023-05-01;08;12396;2231;10263;20819;20 819;9858;2538;7;1336;0;698;1595;0
2023-05-01;09;12661;2279;10263;20819;20 819;9858;2803;6;1784;0;698;1801;0
2023-05-01;10;13075;2353;10048;20819;20 819;10073;3001;5;2104;0;698;1959;0
2023-05-01;11;13180;2372;10094;20819;20 819;10028;3153;5;2412;0;698;2095;0
2023-05-01;12;13174;2371;10173;20819;20 819;9948;3225;7;2595;0;698;2173;0
2023-05-01;13;13042;2348;10263;20819;20 819;9858;3184;10;2654;0;698;2176;0
2023-05-01;14;12990;2338;10263;20819;20 819;9858;3132;12;2559;0;698;2136;0
2023-05-01;15;12831;2310;10263;20819;20 819;9858;2973;14;2270;0;698;2014;0
2023-05-01;16;12676;2282;10263;20819;20 819;9858;2818;17;1892;0;698;1858;0
2023-05-01;17;12696;2285;10062;20819;20 819;10059;2637;21;1477;0;698;1688;0
2023-05-01;18;12974;2335;9601;20819;20 819;10520;2454;30;990;0;698;1516;0
2023-05-01;19;13526;2435;8964;20924;20 924;11262;2264;27;499;0;698;1337;0
2023-05-01;20;14074;2533;9351;21860;21 860;11811;2264;30;192;0;698;1219;0
2023-05-01;21;15110;2720;8869;22325;22 325;12759;2351;35;2;0;698;1208;0
2023-05-01;22;15291;2752;8695;22458;22 458;13066;2226;39;0;0;698;1199;0
2023-05-01;23;14456;2602;9157;22188;22 188;12333;2123;45;0;0;698;1161;0
2023-05-01;24;13516;2433;9351;21523;21 523;11474;2042;44;0;0;698;1119;0
2023-05-02;01;13446;2420;8959;20819;20 819;11388;2058;50;0;0;472;1157;0
2023-05-02;02;13443;2420;8959;20819;20 819;11388;2055;42;0;0;472;1148;0
2023-05-02;03;13373;2407;9038;20819;20 819;11309;2064;37;0;0;472;1145;0
2023-05-02;04;13373;2407;9036;20819;20 819;11311;2062;29;0;0;472;1140;0
2023-05-02;05;13340;2401;9083;20819;20 819;11264;2076;22;62;0;472;1156;0
2023-05-02;06;13141;2365;9419;20819;20 819;10928;2212;16;435;0;472;1286;0
2023-05-02;07;13748;2475;8982;20819;20 819;11365;2383;11;839;0;472;1487;0
2023-05-02;08;13992;2518;8936;20819;20 819;11411;2581;3;1346;0;472;1698;22848
2023-05-02;09;14643;2636;8543;20819;20 819;11804;2839;1;1795;0;472;1926;22848
2023-05-02;10;15024;2704;8459;20819;20 819;11888;3135;2;2126;0;472;2113;22848
2023-05-02;11;15219;2739;8395;20819;20 819;11953;3266;3;2428;0;472;2244;22848
2023-05-02;12;15572;2803;8097;20819;20 819;12250;3322;4;2616;0;472;2337;22848
2023-05-02;13;15632;2814;7983;20819;20 819;12364;3268;9;2674;0;472;2358;22848
2023-05-02;14;15693;2825;7838;20819;20 819;12509;3184;15;2566;0;472;2318;22848
2023-05-02;15;15679;2822;7701;20819;20 819;12646;3033;25;2270;0;472;2205;22848
2023-05-02;16;15520;2794;7678;20819;20 819;12669;2850;30;1894;0;472;2040;22848
2023-05-02;17;15658;2818;7399;20835;20 835;12964;2694;37;1482;0;472;1882;22848
2023-05-02;18;15746;2834;7503;21208;21 208;13233;2513;40;1002;0;472;1679;22848
2023-05-02;19;16119;2901;7694;21953;21 953;13787;2332;35;502;0;472;1455;22848
2023-05-02;20;16297;2933;7691;22191;22 191;14028;2268;25;193;0;472;1334;22848
2023-05-02;21;17518;3153;6800;22458;22 458;15186;2331;25;3;0;472;1337;22848
2023-05-02;22;17145;3086;7042;22355;22 355;14841;2304;40;0;0;472;1332;22848
2023-05-02;23;15201;2736;7616;21130;21 130;13042;2159;41;0;0;472;1274;0
2023-05-02;24;14075;2533;8374;20819;20 819;11973;2102;48;0;0;472;1211;0
2023-05-03;01;13051;2349;9372;20819;20 819;10975;2076;35;0;0;472;1138;0
2023-05-03;02;12584;2265;9839;20819;20 819;10508;2076;30;0;0;472;1108;0
2023-05-03;03;12431;2238;10001;20819;20 819;10347;2084;27;0;0;472;1102;0
2023-05-03;04;12428;2237;10001;20819;20 819;10347;2081;22;0;0;472;1097;0
2023-05-03;05;12438;2239;10001;20819;20 819;10347;2092;20;62;0;472;1115;0
2023-05-03;06;12568;2262;10001;20819;20 819;10347;2221;19;433;0;472;1262;0
2023-05-03;07;12732;2292;10001;20819;20 819;10347;2385;17;841;0;472;1438;0
2023-05-03;08;12919;2325;10001;20819;20 819;10347;2572;9;1335;0;472;1636;0
2023-05-03;09;13211;2378;10001;20819;20 819;10347;2864;2;1787;0;472;1851;0
2023-05-03;10;13398;2412;10001;20819;20 819;10347;3052;3;2120;0;472;2005;0
2023-05-03;11;13538;2437;10001;20819;20 819;10347;3192;6;2428;0;472;2138;0
2023-05-03;12;13623;2452;10001;20819;20 819;10347;3276;1;2613;0;472;2213;0
2023-05-03;13;13684;2463;9923;20819;20 819;10424;3260;2;2670;0;472;2238;0
2023-05-03;14;13647;2456;9872;20819;20 819;10475;3171;3;2572;0;472;2190;0
2023-05-03;15;13533;2436;9802;20819;20 819;10545;2988;8;2281;0;472;2061;0
2023-05-03;16;13380;2408;9783;20819;20 819;10564;2816;18;1900;0;472;1904;0
2023-05-03;17;13521;2434;9473;20819;20 819;10874;2647;16;1482;0;472;1738;0
2023-05-03;18;13799;2484;9007;20819;20 819;11340;2459;10;996;0;472;1556;0
2023-05-03;19;14264;2567;9113;21534;21 534;11950;2314;19;502;0;472;1364;0
2023-05-03;20;14719;2649;9113;22032;22 032;12448;2271;23;193;0;472;1263;0
2023-05-03;21;15942;2870;8498;22458;22 458;13488;2454;26;2;0;472;1280;0
2023-05-03;22;15856;2854;8473;22383;22 383;13438;2418;38;0;0;472;1297;0
2023-05-03;23;14656;2638;9113;21998;21 998;12414;2243;36;0;0;472;1234;0
2023-05-03;24;13533;2436;9065;20925;20 925;11388;2145;28;0;0;472;1194;0
2023-05-04;01;13981;2517;8503;20819;20 819;11844;2137;29;0;0;472;1209;0
2023-05-04;02;13752;2475;8723;20819;20 819;11624;2127;24;0;0;472;1186;0
2023-05-04;03;13674;2461;8792;20819;20 819;11555;2118;19;0;0;472;1175;0
2023-05-04;04;13655;2458;8804;20819;20 819;11543;2112;20;0;0;472;1171;0
2023-05-04;05;13709;2468;8771;20819;20 819;11576;2133;19;62;0;472;1195;0
2023-05-04;06;13867;2496;8754;20819;20 819;11593;2274;17;435;0;472;1349;0
2023-05-04;07;16524;2974;6253;20819;20 819;14094;2430;12;844;0;472;1647;0
2023-05-04;08;17679;3182;5304;20819;20 819;15043;2636;6;1355;0;472;1905;22848
2023-05-04;09;18403;3313;4852;20834;20 834;15510;2893;5;1817;0;472;2141;22848
2023-05-04;10;18405;3313;5088;20819;20 819;15259;3146;4;2151;0;472;2288;22848
2023-05-04;11;18499;3330;5120;20819;20 819;15227;3272;5;2466;0;472;2415;22848
2023-05-04;12;18669;3360;4986;20819;20 819;15361;3308;3;2651;0;472;2488;22848
2023-05-04;13;18720;3370;4932;20819;20 819;15415;3305;3;2726;0;472;2517;22848
2023-05-04;14;18498;3330;5040;20819;20 819;15307;3191;6;2627;0;472;2457;22848
2023-05-04;15;18573;3343;4906;20929;20 929;15551;3022;9;2329;0;472;2329;22848
2023-05-04;16;18608;3349;4947;21195;21 195;15776;2832;11;1939;0;472;2155;22848
2023-05-04;17;18473;3325;4947;21235;21 235;15817;2656;6;1520;0;472;1966;22848
2023-05-04;18;18390;3310;4947;21360;21 360;15941;2449;5;1019;0;472;1756;22848
2023-05-04;19;18585;3345;4947;21707;21 707;16288;2297;9;513;0;472;1559;22848
2023-05-04;20;19043;3428;4947;22229;22 229;16810;2233;12;196;0;472;1448;22848
2023-05-04;21;19809;3566;4576;22458;22 458;17410;2399;15;3;0;472;1448;22848
2023-05-04;22;18804;3385;4947;21860;21 860;16441;2363;21;0;0;472;1444;22848
2023-05-04;23;17328;3119;5222;20819;20 819;15126;2203;31;0;0;472;1414;0
2023-05-04;24;16170;2911;6334;20819;20 819;14013;2157;38;0;0;472;1338;0
2023-05-05;01;16839;3031;5676;20819;20 819;14671;2168;47;0;0;472;1374;0
2023-05-05;02;16242;2924;6267;20819;20 819;14080;2162;39;0;0;472;1333;0
2023-05-05;03;15965;2874;6534;20819;20 819;13813;2152;39;0;0;472;1318;0
2023-05-05;04;16053;2890;6446;20819;20 819;13901;2152;43;0;0;472;1324;0
2023-05-05;05;16107;2899;6387;20819;20 819;13960;2147;32;64;0;472;1332;0
2023-05-05;06;16444;2960;6172;20819;20 819;14175;2269;25;445;0;472;1486;0
2023-05-05;07;17612;3170;5150;20819;20 819;15198;2415;13;856;0;472;1702;0
2023-05-05;08;19011;3422;4340;21195;21 195;16383;2629;12;1380;0;472;1962;22848
2023-05-05;09;19492;3509;4340;21432;21 432;16620;2873;11;1856;0;472;2179;22848
2023-05-05;10;19491;3508;4340;21207;21 207;16395;3095;16;2196;0;472;2344;22848
2023-05-05;11;19400;3492;4340;20961;20 961;16149;3251;12;2515;0;472;2475;22848
2023-05-05;12;19476;3506;4340;20928;20 928;16116;3360;8;2701;0;472;2554;22848
2023-05-05;13;19354;3484;4354;20819;20 819;15993;3361;6;2758;0;472;2573;22848
2023-05-05;14;19044;3428;4546;20819;20 819;15801;3243;4;2654;0;472;2504;22848
2023-05-05;15;19032;3426;4346;20819;20 819;16001;3031;7;2348;0;472;2370;22848
2023-05-05;16;18973;3415;4340;20946;20 946;16134;2838;6;1963;0;472;2198;22848
2023-05-05;17;18934;3408;4340;21082;21 082;16270;2665;8;1535;0;472;2012;22848
2023-05-05;18;18853;3394;4340;21203;21 203;16391;2463;13;1030;0;472;1804;22848
2023-05-05;19;18959;3413;4340;21489;21 489;16677;2282;13;518;0;472;1595;22848
2023-05-05;20;19511;3512;4340;22085;22 085;17273;2238;7;197;0;472;1478;22848
2023-05-05;21;20002;3600;4340;22453;22 453;17641;2361;7;3;0;472;1452;22848
2023-05-05;22;18813;3386;4340;21262;21 262;16450;2363;10;0;0;472;1470;22848
2023-05-05;23;17613;3170;4920;20819;20 819;15427;2186;17;0;0;472;1421;0
2023-05-05;24;16788;3022;5704;20819;20 819;14643;2144;25;0;0;472;1363;0
2023-05-06;01;15372;2767;6641;20364;20 364;13251;2122;32;0;0;472;1283;0
2023-05-06;02;15281;2751;6737;20364;20 364;13155;2126;35;0;0;472;1279;0
2023-05-06;03;15293;2753;6737;20364;20 364;13155;2139;42;0;0;472;1287;0
2023-05-06;04;15300;2754;6737;20364;20 364;13155;2145;50;0;0;472;1293;0
2023-05-06;05;15306;2755;6737;20364;20 364;13155;2151;49;63;0;472;1308;0
2023-05-06;06;15165;2730;6995;20364;20 364;12897;2268;39;440;0;472;1433;0
2023-05-06;07;15598;2808;6737;20364;20 364;13155;2443;32;849;0;472;1620;0
2023-05-06;08;15805;2845;6724;20364;20 364;13168;2637;11;1362;0;472;1819;0
2023-05-06;09;16655;2998;6460;20707;20 707;13775;2880;9;1834;0;472;2046;0
2023-05-06;10;17018;3063;6460;20864;20 864;13932;3086;12;2180;0;472;2207;0
