Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9) - (12);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-04-01;01;15954;2872;6357;18964;18 964;12607;3347;23;0;0;0;1776;0
2023-04-01;02;15874;2857;6357;18964;18 964;12607;3267;25;0;0;0;1736;0
2023-04-01;03;15884;2859;6357;18964;18 964;12607;3278;31;0;0;0;1745;0
2023-04-01;04;15905;2863;6357;18964;18 964;12607;3298;35;0;0;0;1758;0
2023-04-01;05;15914;2865;6357;18964;18 964;12607;3308;32;0;0;0;1761;0
2023-04-01;06;15942;2869;6357;18964;18 964;12607;3335;32;87;0;0;1792;0
2023-04-01;07;16095;2897;6357;18964;18 964;12607;3489;35;505;0;0;1960;0
2023-04-01;08;16291;2932;6357;18964;18 964;12607;3684;23;1058;0;0;2175;0
2023-04-01;09;17101;3078;5985;19146;19 146;13162;3940;14;1588;0;0;2410;0
2023-04-01;10;17609;3170;5967;19461;19 461;13494;4115;14;1995;0;0;2572;0
2023-04-01;11;17633;3174;5902;19342;19 342;13440;4193;12;2290;0;0;2687;0
2023-04-01;12;17546;3158;5861;19183;19 183;13321;4224;8;2441;0;0;2734;0
2023-04-01;13;17326;3119;5990;19116;19 116;13125;4200;12;2513;0;0;2755;0
2023-04-01;14;16936;3048;6127;18964;18 964;12837;4099;17;2397;0;0;2691;0
2023-04-01;15;16589;2986;6357;18964;18 964;12607;3982;22;2158;0;0;2577;0
2023-04-01;16;16537;2977;6259;18964;18 964;12705;3831;24;1797;0;0;2425;0
2023-04-01;17;16536;2976;6120;18964;18 964;12844;3691;29;1314;0;0;2253;0
2023-04-01;18;16654;2998;5869;18964;18 964;13095;3559;38;785;0;0;2082;0
2023-04-01;19;17416;3135;6021;19909;19 909;13888;3528;50;255;0;0;1909;0
2023-04-01;20;18750;3375;5438;20603;20 603;15165;3585;54;12;0;0;1876;0
2023-04-01;21;18306;3295;5920;20603;20 603;14683;3623;51;0;0;0;1871;0
2023-04-01;22;17290;3112;6021;19885;19 885;13864;3426;47;0;0;0;1835;0
2023-04-01;23;16174;2911;6174;18964;18 964;12790;3384;53;0;0;0;1819;0
2023-04-01;24;15947;2870;6357;18964;18 964;12607;3340;43;0;0;0;1780;0
2023-04-02;01;14173;2551;8182;18964;18 964;10782;3390;38;0;0;0;1718;0
2023-04-02;02;14164;2550;8182;18964;18 964;10782;3382;27;0;0;0;1703;0
2023-04-02;03;14173;2551;8182;18964;18 964;10782;3390;22;0;0;0;1706;0
2023-04-02;04;14180;2552;8182;18964;18 964;10782;3397;23;0;0;0;1711;0
2023-04-02;05;14171;2551;8182;18964;18 964;10782;3388;23;0;0;0;1705;0
2023-04-02;06;14190;2554;8182;18964;18 964;10782;3408;23;87;0;0;1733;0
2023-04-02;07;14330;2579;8182;18964;18 964;10782;3547;19;498;0;0;1893;0
2023-04-02;08;14509;2612;8182;18964;18 964;10782;3727;13;1040;0;0;2097;0
2023-04-02;09;14738;2653;8182;18964;18 964;10782;3956;10;1590;0;0;2316;0
2023-04-02;10;14883;2679;8182;18964;18 964;10782;4100;11;1988;0;0;2473;0
2023-04-02;11;15004;2701;8147;18964;18 964;10817;4187;9;2271;0;0;2582;0
2023-04-02;12;15112;2720;8141;18964;18 964;10823;4289;14;2416;0;0;2654;0
2023-04-02;13;15062;2711;8144;18964;18 964;10820;4241;16;2491;0;0;2662;0
2023-04-02;14;15027;2705;8048;18964;18 964;10916;4111;18;2381;0;0;2592;0
2023-04-02;15;14799;2664;8120;18964;18 964;10844;3955;21;2135;0;0;2473;0
2023-04-02;16;14622;2632;8158;18964;18 964;10806;3816;27;1791;0;0;2328;0
2023-04-02;17;14805;2665;7832;18964;18 964;11132;3673;37;1309;0;0;2170;0
2023-04-02;18;15283;2751;7283;19039;19 039;11756;3528;40;785;0;0;2003;0
2023-04-02;19;15948;2871;7343;19823;19 823;12480;3468;39;254;0;0;1814;0
2023-04-02;20;16834;3030;7324;20584;20 584;13260;3574;50;12;0;0;1782;0
2023-04-02;21;17312;3116;6860;20603;20 603;13743;3569;42;0;0;0;1817;0
2023-04-02;22;16669;3000;7231;20433;20 433;13202;3467;47;0;0;0;1798;0
2023-04-02;23;15930;2867;7343;19884;19 884;12541;3389;41;0;0;0;1779;0
2023-04-02;24;15083;2715;7268;18964;18 964;11696;3387;53;0;0;0;1779;0
2023-04-03;01;16036;2886;6220;18964;18 964;12672;3364;45;0;0;72;1802;0
2023-04-03;02;15846;2852;6418;18964;18 964;12474;3373;48;0;0;72;1795;0
2023-04-03;03;15666;2820;6621;18964;18 964;12270;3395;49;0;0;72;1797;0
2023-04-03;04;15603;2809;6700;18964;18 964;12192;3411;49;0;0;72;1801;0
2023-04-03;05;16036;2887;6258;18964;18 964;12634;3403;35;0;0;72;1812;0
2023-04-03;06;16947;3051;5357;18964;18 964;13534;3413;24;87;0;72;1878;0
2023-04-03;07;18338;3301;4090;18964;18 964;14802;3536;16;507;0;72;2089;0
2023-04-03;08;19811;3566;3033;19213;19 213;16108;3704;10;1061;0;72;2347;22848
2023-04-03;09;20343;3662;3114;19586;19 586;16400;3943;9;1613;0;72;2572;22848
2023-04-03;10;20210;3638;3138;19321;19 321;16111;4099;7;2030;0;72;2735;22848
2023-04-03;11;20055;3610;3124;19044;19 044;15847;4208;9;2315;0;72;2848;22848
2023-04-03;12;20066;3612;3072;18964;18 964;15820;4246;7;2462;0;72;2896;22848
2023-04-03;13;20020;3604;3141;19044;19 044;15830;4189;5;2544;0;72;2906;22848
2023-04-03;14;19715;3549;3267;18964;18 964;15625;4091;4;2429;0;72;2835;22848
2023-04-03;15;19670;3541;3120;18964;18 964;15772;3898;6;2174;0;72;2711;22848
2023-04-03;16;19594;3527;3131;19033;19 033;15830;3764;11;1814;0;72;2562;22848
2023-04-03;17;19595;3527;2990;19061;19 061;15999;3596;12;1329;0;72;2377;22848
2023-04-03;18;19620;3532;3083;19325;19 325;16169;3451;22;795;0;72;2176;22848
2023-04-03;19;20108;3619;3141;19941;19 941;16728;3380;27;256;0;72;1984;22848
2023-04-03;20;20899;3762;3091;20603;20 603;17440;3459;32;12;0;72;1940;22848
2023-04-03;21;21556;3880;2435;20603;20 603;18096;3460;37;0;0;72;1992;22848
2023-04-03;22;19715;3549;2938;19382;19 382;16372;3343;40;0;0;72;1959;22848
2023-04-03;23;18425;3316;3798;18964;18 964;15094;3331;43;0;0;72;1923;0
2023-04-03;24;17693;3185;4498;18964;18 964;14393;3300;48;0;0;72;1876;0
2023-04-04;01;17521;3154;4656;18964;18 964;14236;3285;52;0;0;72;1855;0
2023-04-04;02;17051;3069;5146;18964;18 964;13746;3305;62;0;0;72;1839;0
2023-04-04;03;16958;3052;5259;18964;18 964;13632;3326;58;0;0;72;1841;0
2023-04-04;04;16974;3055;5247;18964;18 964;13645;3329;43;0;0;72;1835;0
2023-04-04;05;17420;3136;4807;18964;18 964;14084;3336;44;0;0;72;1861;0
2023-04-04;06;17961;3233;4282;18964;18 964;14609;3351;44;88;0;72;1915;0
2023-04-04;07;18959;3413;3409;18964;18 964;15482;3477;36;508;0;72;2111;0
2023-04-04;08;20453;3681;2403;19282;19 282;16807;3646;31;1060;0;72;2364;22848
2023-04-04;09;20901;3762;2403;19430;19 430;16955;3946;20;1602;0;72;2597;22848
2023-04-04;10;20865;3756;2403;19239;19 239;16764;4101;16;2005;0;72;2752;22848
2023-04-04;11;21164;3810;2403;19492;19 492;17017;4147;20;2292;0;72;2851;22848
